name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Cz	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FCz	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
AFz	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Fp1	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
F5	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
F1	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP5	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP3	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP1	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P1	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P3	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P5	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P7	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO7	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO3	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
O1	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Pz	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
POz	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Oz	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
O2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO4	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO8	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P8	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P6	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P4	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP4	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP6	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
F2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
F6	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Fp2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
